2026-07-14 12:24:43,462 | INFO | Financial RAG Server Started
2026-07-14 12:24:52,140 | INFO | Home API Called
2026-07-14 12:24:53,285 | INFO | Home API Called
2026-07-14 12:25:17,586 | INFO | Financial RAG Server Started
2026-07-14 12:25:20,971 | INFO | Home API Called
2026-07-14 12:25:21,773 | INFO | Home API Called
2026-07-14 12:25:22,132 | INFO | Home API Called
2026-07-14 12:42:30,026 | INFO | Financial RAG Server Started
2026-07-14 12:46:17,383 | INFO | Financial RAG Server Started
2026-07-14 12:46:33,610 | INFO | Financial RAG Server Started
2026-07-14 12:46:50,985 | INFO | Financial RAG Server Started
2026-07-14 12:49:02,372 | INFO | Home API Called
2026-07-14 15:39:12,400 | INFO | Financial RAG Server Started
2026-07-14 15:39:29,690 | INFO | Financial RAG Server Started
